,钢号,试验单位,缺口形状,试样尺寸,取样方向,试验方法,炉号,热处理号,温度,样品数,屈服点,序号,试验单位-化学成分,铈,镧,钙,钴,铝(不可溶),铝(可溶),铌,钛,硼,铜,钨,钒,钼,镍,铬,硫,磷,锰,硅,碳,锶,硒,钠,汞,镉,银,砷,铋,锌,锑,锡,铅,铁,稀土,氮气,氧气,氢气,氮,氧,氢,镁,试验单位-金相组织,夹杂物,渗氮,渗碳,金相组织,最大晶粒度,晶粒度,马氏体转变开,热处理工艺
121,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88100,10.0,25.0,2.0,725.0,13.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 650℃ 1(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
122,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88100,11.0,25.0,2.0,720.0,14.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 650℃ 1(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 油冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
123,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88331,12.0,25.0,2.0,960.0,15.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.01,0.36,0.01,0.0,3.0,0.0,0.0,0.0,4.34,15.22,0.011,0.021,0.33,0.39,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 590℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
124,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88331,13.0,25.0,2.0,855.0,16.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.01,0.36,0.01,0.0,3.0,0.0,0.0,0.0,4.34,15.22,0.011,0.021,0.33,0.39,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 620℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
125,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,14.0,25.0,2.0,780.0,17.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 660℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
126,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,15.0,25.0,2.0,820.0,18.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 665℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
127,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,16.0,25.0,2.0,790.0,19.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 680℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
128,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,17.0,25.0,2.0,790.0,20.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 690℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
129,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,18.0,25.0,2.0,797.0,21.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 700℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
130,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88101,12.0,25.0,2.0,975.0,22.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0088,0.31,0.0,0.0,3.28,0.0,0.0,0.0,4.4,15.84,0.005,0.015,0.32,0.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 590℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
131,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88101,13.0,25.0,2.0,852.0,23.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0088,0.31,0.0,0.0,3.28,0.0,0.0,0.0,4.4,15.84,0.005,0.015,0.32,0.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 620℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
132,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88101,5.0,25.0,2.0,737.0,24.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0088,0.31,0.0,0.0,3.28,0.0,0.0,0.0,4.4,15.84,0.005,0.015,0.32,0.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 630℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
133,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88101,6.0,25.0,2.0,675.0,25.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0088,0.31,0.0,0.0,3.28,0.0,0.0,0.0,4.4,15.84,0.005,0.015,0.32,0.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 650℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
134,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88101,14.0,25.0,2.0,695.0,26.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0088,0.31,0.0,0.0,3.28,0.0,0.0,0.0,4.4,15.84,0.005,0.015,0.32,0.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 660℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
135,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88101,7.0,25.0,2.0,735.0,27.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0088,0.31,0.0,0.0,3.28,0.0,0.0,0.0,4.4,15.84,0.005,0.015,0.32,0.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 670℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
136,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88101,16.0,25.0,2.0,755.0,28.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0088,0.31,0.0,0.0,3.28,0.0,0.0,0.0,4.4,15.84,0.005,0.015,0.32,0.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 680℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
137,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88101,18.0,25.0,2.0,800.0,29.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0088,0.31,0.0,0.0,3.28,0.0,0.0,0.0,4.4,15.84,0.005,0.015,0.32,0.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 700℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
138,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88101,19.0,25.0,2.0,855.0,30.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0088,0.31,0.0,0.0,3.28,0.0,0.0,0.0,4.4,15.84,0.005,0.015,0.32,0.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 560℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 30' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
139,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88101,20.0,25.0,2.0,820.0,31.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0088,0.31,0.0,0.0,3.28,0.0,0.0,0.0,4.4,15.84,0.005,0.015,0.32,0.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 580℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 30' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
140,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88101,21.0,25.0,2.0,747.0,32.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0088,0.31,0.0,0.0,3.28,0.0,0.0,0.0,4.4,15.84,0.005,0.015,0.32,0.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 605℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 30' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
141,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88101,22.0,25.0,2.0,650.0,33.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0088,0.31,0.0,0.0,3.28,0.0,0.0,0.0,4.4,15.84,0.005,0.015,0.32,0.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 620℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 30' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
142,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,20.0,25.0,2.0,830.0,34.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 580℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 30' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
143,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,23.0,25.0,2.0,810.0,35.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 585℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 30' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
144,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,24.0,25.0,2.0,785.0,36.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 590℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 30' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
145,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,21.0,25.0,2.0,707.0,37.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 605℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 30' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
146,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,25.0,25.0,2.0,622.0,38.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 610℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 30' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
147,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88331,22.0,25.0,2.0,618.0,39.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.01,0.36,0.01,0.0,3.0,0.0,0.0,0.0,4.34,15.22,0.011,0.021,0.33,0.39,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 620℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 30' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
148,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88331,26.0,25.0,2.0,842.0,40.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.01,0.36,0.01,0.0,3.0,0.0,0.0,0.0,4.34,15.22,0.011,0.021,0.33,0.39,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 570℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 70' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
149,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88331,27.0,25.0,1.0,785.0,41.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.01,0.36,0.01,0.0,3.0,0.0,0.0,0.0,4.34,15.22,0.011,0.021,0.33,0.39,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 580℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 70' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
150,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88331,28.0,25.0,2.0,765.0,42.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.01,0.36,0.01,0.0,3.0,0.0,0.0,0.0,4.34,15.22,0.011,0.021,0.33,0.39,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 590℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 70' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
151,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88331,29.0,25.0,2.0,730.0,43.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.01,0.36,0.01,0.0,3.0,0.0,0.0,0.0,4.34,15.22,0.011,0.021,0.33,0.39,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 600℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 70' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
152,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88331,30.0,25.0,2.0,620.0,44.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.01,0.36,0.01,0.0,3.0,0.0,0.0,0.0,4.34,15.22,0.011,0.021,0.33,0.39,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 610℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 70' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
153,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,31.0,25.0,2.0,660.0,45.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 605℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 30' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
154,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88101,32.0,25.0,2.0,795.0,46.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0088,0.31,0.0,0.0,3.28,0.0,0.0,0.0,4.4,15.84,0.005,0.015,0.32,0.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 580℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 30' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
155,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,32.0,25.0,2.0,770.0,47.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:最终时效 580℃ 5(h) 空冷;热处理2:中间一次时效 815℃ 30' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
